name,address,location,adname,type,shopinfo,lng,lat,is_chain
Gmt music park,襄阳南路232号(陕西南路地铁站7号口步行340米),"121.457295,31.212054",徐汇区,体育休闲服务;体育休闲服务场所;体育休闲服务场所,1,121.457295,31.212054,False
瑞幸咖啡(现代大厦店),襄阳南路218号现代大厦一层大堂,"121.457173,31.212106",徐汇区,餐饮服务;咖啡厅;咖啡厅,0,121.457173,31.212106,True
Tequila espresso,嘉善路55号,"121.459462,31.211968",徐汇区,餐饮服务;咖啡厅;咖啡厅,0,121.459462,31.211968,False
铁手咖啡制造局(metalhands2店),永嘉路37号,"121.462683,31.210508",黄浦区,餐饮服务;咖啡厅;咖啡厅|政府机构及社会团体;政府及社会团体相关;政府及社会团体相关,2,121.462683,31.210508,False
瑞幸咖啡(瑞金商务中心店),肇嘉浜路100号瑞金商务中心一层105B室,"121.465167,31.205106",黄浦区,餐饮服务;咖啡厅;咖啡厅,0,121.465167,31.205106,True
花咖,清真路45号(嘉善路地铁站4号口步行250米),"121.460474,31.199781",徐汇区,餐饮服务;咖啡厅;咖啡厅,1,121.460474,31.199781,False
内明谷Me Time Coffee(曲圆小区店),建国西路122号(近陕西南路),"121.465003,31.207809",黄浦区,餐饮服务;咖啡厅;咖啡厅,1,121.465003,31.207809,False
Peet's Coffee 皮爷咖啡(黑石公寓店),复兴中路1333弄1-6号珊珊小区,"121.452543,31.210844",徐汇区,餐饮服务;咖啡厅;咖啡厅,0,121.452543,31.210844,False
推浪咖啡 WAVEOFFcoffee,建国西路550号101室,"121.450572,31.202860",徐汇区,餐饮服务;咖啡厅;咖啡厅,0,121.450572,31.20286,False
越南滴漏咖啡(建国西路581弄小区店),建国西路581弄之1-6号建国西路581弄小区,"121.450814,31.202789",徐汇区,餐饮服务;咖啡厅;咖啡厅,0,121.450814,31.202789,False
咖啡喝伐Hefa Coffee(肇嘉浜路店),肇嘉浜路93号(嘉善路地铁站2号口步行350米),"121.465130,31.203382",徐汇区,餐饮服务;咖啡厅;咖啡厅,1,121.46513,31.203382,False
Manner Coffee(复兴中路店),襄阳南路复兴中路1282弄小区,"121.457146,31.212670",徐汇区,餐饮服务;咖啡厅;咖啡厅,0,121.457146,31.21267,True
嘲鸫咖啡(医学院路店),医学院路中山新村,"121.455313,31.199156",徐汇区,餐饮服务;咖啡厅;咖啡厅,0,121.455313,31.199156,False
跑GO咖啡,陕西南路225号上海文化广场7门,"121.461949,31.211824",黄浦区,餐饮服务;咖啡厅;咖啡厅,1,121.461949,31.211824,False
瑞幸咖啡(中山医院西院区门诊大楼店),平江路232号一层底商(肇嘉浜路地铁站2号口步行370米),"121.453575,31.199539",徐汇区,餐饮服务;咖啡厅;咖啡厅,0,121.453575,31.199539,True
Tims咖啡(申信大楼捷枫店),小木桥路219号,"121.457692,31.198612",徐汇区,餐饮服务;咖啡厅;咖啡厅,0,121.457692,31.198612,True
星巴克(上海小木桥路店),小木桥路221号,"121.457611,31.198604",徐汇区,餐饮服务;咖啡厅;星巴克咖啡,0,121.457611,31.198604,True
欧维桔诺咖啡,汾阳花园酒店西北1门旁,"121.455007,31.212691",徐汇区,餐饮服务;咖啡厅;咖啡厅,0,121.455007,31.212691,False
毛姆礼帽Cafe Bar,永嘉路601号(乌鲁木齐南路),"121.449215,31.204742",徐汇区,购物服务;购物相关场所;购物相关场所,1,121.449215,31.204742,False
山粮咖啡,陕西南路203号,"121.461060,31.212599",黄浦区,餐饮服务;咖啡厅;咖啡厅,0,121.46106,31.212599,False
BRICK LANE板砖咖啡(乌南店),乌鲁木齐南路121号(衡山路地铁站1号口步行290米),"121.448975,31.204925",徐汇区,餐饮服务;咖啡厅;咖啡厅,1,121.448975,31.204925,False
Luneurs(衡复艺术中心店),乌鲁木齐南路178号101、201室,"121.449187,31.203281",徐汇区,餐饮服务;餐饮相关场所;餐饮相关,0,121.449187,31.203281,False
Coffee Surround,襄阳南路164号(陕西南路地铁站7号口步行170米),"121.457038,31.213568",徐汇区,餐饮服务;咖啡厅;咖啡厅,0,121.457038,31.213568,False
